"işletme adı","instagram kullanıcı adı","telefon numarası","mail adresi","websitesi"
"CORNER LİFE BUNGALOW","sapancacornerlifebungalow","05497661771","",""
"VİTALİS SAPANCA BUNGALOV","vitalissapanca","05446759727","",""
"STAY İN SAPANCA","stayinsapanca","05316413633","",""
"SEBİLLA SAPANCA","sebillasapanca","05467969033","",""
"ANNA SAPANCA BUNGALOV","@annasapancabungalov","+905334588393","",""
"Mısra bungalow","@sapancamisrabungalow","+905346481113","",""
"HARMONY OF NATURE BUNGALOV","@harmonysapanca","+905358936380","",""
"GREEN WORLD BUNGALOV 2","@greenworldbungalov2","+905367419873","",""
"CHALET DU LAC SAPANCA BUNGALOV","@exploretagssapancabungalov","+905411815999","",""
"PEARL SAPANCA BUNGALOV","@pearlsapancabungalov","+905418083854","",""
"SAPANCA VANİLLA BUNGALOV","sapancavanillabungalov","05358558431","",""
"GÖL EVİM SAPANCA","golevimsapanca","05301155454","",""
"SAPANCA MARİNE HOUSE","sapancamarinehouse","05491215454","",""
"SAPANCA ADA KARYE BUNGALOV","@sapancadakarye","+905070639392","",""
"ATABERR BUNGALOV","@sapancaataberrbungalow","+905393957880","",""
"VİOLA RESORT SAPANCA","violaresortsapanca","05468423906","",""
"HİDDEN HEAVEN BUNGALOV","hiddenheavensapanca","05074121518","",""
"GEZEGEN BUNGALOV","gezegenbungalow","05397480571","",""
"TELESKOP SUİT","sapancateleskopsuit","905300791503","",""
"KORU BUNGALOV","@sapancakorubungalov","+905385421009","",""
"RİSE'N SHİNE BUNGALOW SAPANCA","shinesapanca","05421301654","",""
"BUMBLEBEE SAPANCA BUNGALOV","@bumblebeesapanca","+905358594714","",""
"LOFT BLACK SAPANCA","@loft.black.sapanca","+905326306801","",""
"PİERRE ROR SAPANCA","pierrerorsapanca","05356175493","",""
"AĞAÇ EV SAPANCA","@agacevsapanca","+905322516563","",""
"SAPANCA LARA VİLLA BUNGALOW","larabungalowsapanca","05337369909","",""
"SAPANCA SAKLI CENNET BUNGALOV","@sapancasaklicennetbungalovv","+905375403764","",""
"LODOS BUNGALOV","@lodosbungalov","+905369826589","",""
"BABE SAPANCA","@babesapanca","+905354401516","",""
"GREEN LİFE SAPANCA","greenlifebagevi","05333748051","",""
"HEART OF THE FOREST","@heartoftheforest54","+905335931054","",""
"BONTE SAPANCA","@bontesapanca","+905334166938","",""
"ROSE GARDEN SAPANCA","@sapancarosegardenbungalov","+905330544861","",""
"SAPANCA MİMOZA GARDEN BUNGALOV","sapancamimozagardenbungalov","05445304331","",""
"PYRAMİD SAPANCA","pyramidsapanca","05326291715","",""
"ALA SAPANCA DELUXE","@alasapancasuit","+905323322293","",""
"CASTLE OF SAPANCA","@castleofsapanca","+905386256554","",""
"SAPANCA 360 BUNGALOWS","@sapanca360bungalows","+905324796332","",""
"BAYRAKLI DAĞ EVİ & BUNGALOV","@sapancabayraklidagevi","+905425161817","",""
"SAPANCA NO:1 BUNGALOW","no1bungalow","05452549901","",""
"SAPANCA HAPPY LİFE","sapancahappylife","05364193411","",""
"BURNAZ BUNGALOV SAPANCA","sapancaburnazbungalovcafe","05301254254","",""
"MODY SAPANCA","@sapancamodybungalov","+905333253254","",""
"NAZENDE BUNGALOV","@nazendebungalov","+905334527054","",""
"FOREST WORLD SAPANCA","@forest.world.sapanca","+905307978418","",""
"SAPANCA GREEN LİKE BUNGALOV","sapancagreenlikebungalov","05383667884","",""
"SERENDER KARADENİZ EVİ","serenderkaradenizevi","05375586346","",""
"SAPANCA DESTİNA BUNGALOW","sapancadestinabungalow","05382134857","",""
"MONTENA BUNGALOV SAPANCA","@montenasapanca","+905528599130","",""
"BLİSS BUNGALOV","blissapancaa","05373496639","",""
"AJARA HOUSE","@ajarahouse","+905458112420","",""
"LİNA BUNGALOV SAPANCA","linabungalovsapanca","05304811454","",""
"LA CASİTA BUNGALOW","lacasitabungalowsapanca","05535724169","",""
"OXORİ SAPANCA","@oxorisapanca","+905336798087","",""
"ÇINAR ÜSSÜ BUNGALOW","cinarussubungalow","05393259359","",""
"MİLAGRO & SUENO SUİT BUNGALOW SAPANCA","sapancamilagrosuitbungalow","05469295454","",""
"SRN SUİTE & HOUSE","sapancasrnsuite","05451315454","",""
"SAPANCA AKSA SUİT BUNGALOV","sapancaaksabungalov","05308922662","",""
